resource-type,city,state,name,website,phone,email
Crisis Center,Rexburg,Idaho,Family Crisis Center,N/A,(800) 962-5601,N/A 
Crisis Center,Salmon,Idaho,Lemhi County Crisis Intervention / Mahoney Family Safety Center,http://mahoneyhouse.com/,(208) 940-0600,N/A 
Crisis Center,Weiser,Idaho,Rose Advocates,http://roseadvocates.org/,(208) 414-0740,N/A 
Crisis Center,Arlington Heights,Illinois,Northwest Center Against Sexual Assault,http://www.nwcasa.org/,(888) 802-8890,N/A
Crisis Center,Aurora,Illinois,"Mutual Ground, Inc.",http://www.mutualgroundinc.com/,(630) 897-8383,N/A
Crisis Center,Carbondale,Illinois,Women's Services Rape Crisis Center,http://www.thewomensctr.org/,(800) 334-2094,N/A
Crisis Center,Charleston,Illinois,Sexual Assault Counseling and Information Service,http://www.sacis.org,(888) 345-2846,sacisch@consolidated.net
Crisis Center,Chicago,Illinois,YWCA Metro Chicago,http://ywcachicago.org/sasvc.htm,(888) 293-2080,N/A
Crisis Center,Chicago Heights,Illinois,YWCA -- South Suburban Center,N/A,(708) 748-5672,N/A
Crisis Center,Crystal Lake,Illinois,CARE Center,http://www.nwcasa.org/,(815) 363-5299,N/A
Crisis Center,DeKalb,Illinois,Safe Passage Domestic Violence and Sexual Assault Agency,http://www.safepassagedv.org/,(815) 756-5228,N/A
Crisis Center,Decatur,Illinois,Growing Strong Sexual Assault Center,http://www.growingstrongcenter.org/,(217) 428-0770,N/A
Crisis Center,Dixon,Illinois,YWCA of the Sauk Valley,N/A,(815) 288-1011,N/A
Crisis Center,Edgemont,Illinois,Call For Help Sexual Assault Victim's Care Unit,http://www.callforhelpinc.org/,(618) 397-0975,info@callforhelpinc.org
Crisis Center,Elgin,Illinois,"Community Crisis Center, Inc.",http://www.crisiscenter.org/,(847) 697-2380,N/A
Crisis Center,Galena,Illinois,Riverview Center Sexual Assault Intervention/Prevention Services,http://www.riverviewcenter.org/,(888) 707-8155,N/A
Crisis Center,Glendale Heights,Illinois,YWCA of DuPage/West Surburban Area,http://www.ywcachicago.org/,(630) 971-3927,N/A
Crisis Center,Gurnee,Illinois,Zacharias Sexual Abuse Center,http://centers.rainn.org/details.cfm/rape-crisis-center-details/www.zcenter.org, (847) 872-7799,N/A
Crisis Center,Hickory Hills,Illinois,Pillars,http://www.pillarscommunity.org/,(708) 482-9600,N/A
Crisis Center,Joliet,Illinois,Guardian Angel Community Services,http://www.gacsprograms.org,(815) 730-8984,N/A
Crisis Center,Kankakee,Illinois,KC-CASA,http://www.kc-casa.org/,(815) 932-3322,info@kc-casa.org
Crisis Center,Macomb,Illinois,Western Illinois Regional Council Sexual Assault Program,http://www.wirpc.org/, (309) 837-5555,N/A
Crisis Center,Moline,Illinois,Family Resources Rape/Sexual Assault Program,http://www.famres.org/,(309) 797-1777,N/A
Crisis Center,Peoria,Illinois,Center for Prevention of Abuse,http://www.centerforpreventionofabuse.org/,(800) 559-7233,N/A
Crisis Center,Princeton,Illinois,Freedom House,http://www.freedomhouseillinois.com/,(800) 474-6031,N/A
Crisis Center,Quincy,Illinois,Quanada Sexual Assault Program,http://www.quanada.org/,(800) 369-2287,N/A
Crisis Center,Robinson,Illinois,Counseling and Information for Sexual Assault/Abuse,N/A,(866) 288-4888,N/A
Crisis Center,Rockford,Illinois,"Rockford Sexual Assault Counseling, Inc.",http://www.rsaconline.org/,(800) 564-8441,N/A
Crisis Center,Springfield,Illinois,Prairie Center Against Sexual Assault,http://www.prairiecasa.org/,(217) 753-8081,N/A
Crisis Center,Sterling,Illinois,YWCA of the Sauk Valley,http://www.ywca.org/saukvalley,(815) 626-7277,N/A
Crisis Center,Streator,Illinois,ADV/SAS,http://www.advsas.org/,(800) 892-3375,mmorrison@advsas.org
Crisis Center,Tilton,Illinois,Vermilion County Rape Crisis Center,http://www.vcrapecrisiscenter.org/, (217) 446-1337,N/A
Crisis Center,Urbana,Illinois,"Rape Advocacy, Counseling, & Education Services",http://www.cu-races.org/, (877) 236-3727,N/A
Crisis Center,Vandalia,Illinois,Sexual Assault and Family Emergencies,http://www.safecrisiscenter.org/,(800) 625-1414,safe@safecrisiscenter.org
Crisis Center,Anderson,Indiana,"Alternatives, Inc.",http://www.alternativesdv.org/,(866) 593-9999,N/A
Crisis Center,Bloomington,Indiana,Middle Way House Rape Crisis Center,http://www.middlewayhouse.org/,(812) 336-0846,MWHcommunications@gmail.com
Crisis Center,Crawfordsville,Indiana,Family Crisis Shelter of Montgomery County Inc.,http://www.familycrisisshelter.org/,(800) 370-4103,N/A
Crisis Center,Evansville,Indiana,Albion Fellows Bacon Center,http://www.albionfellowsbacon.org/,(812) 424-7273,N/A
Crisis Center,Fort Wayne,Indiana,"REACT Rape Awareness Program of the Women’s Bureau, Inc.",http://www.womensbureau.org/,(888) 311-7273,N/A
Crisis Center,Gary,Indiana,Crisis Center,http://www.crisiscenterysb.org,(800) 519-0469,N/A
Crisis Center,Indianapolis,Indiana,Crisis & Suicide Intervention,http://mhaindy.net/,(317) 251-7575,info@mhaindy.net
Crisis Center,Jasper,Indiana,"Crisis Connection, Inc.",http://www.crisisconnectioninc.org/,(800) 245-4580,N/A
Crisis Center,Lafayette,Indiana,Lafayette Crisis Center,http://www.lafayettecrisiscenter.org/,(765) 742-0244,N/A
Crisis Center,Lawrenceburg,Indiana,"Directions of Community Mental Health Center, Inc.",http://www.rapecrisissas.org/,(877) 849-1248,N/A
Crisis Center,Marion,Indiana,Hands of Hope,http://www.famservices.com/,(800) 434-8973,N/A
Crisis Center,Muncie,Indiana,A Better Way Crisis & Information Center,http://www.abetterwaymuncie.org/,(765) 288-4357,N/A
Crisis Center,Muncie,Indiana,A Better Way Crisis & Information Center,http://www.abetterwaymuncie.org/,(765) 288-4357,N/A
Crisis Center,New Albany,Indiana,Center for Women and Families,http://www.thecenteronline.org/,(877) 803-7577,N/A
Crisis Center,Noblesville,Indiana,"Prevail, Inc.",http://prevailinc.com/,(317) 776-3472,prevail@prevailinc.com
Crisis Center,Rensselaer,Indiana,"North Central Indiana Rural Crisis Center, Inc.",http://ncircc.com/, (800) 933-0374,N/A
Crisis Center,Salem,Indiana,Hoosier Hills Pact DV Shelter,http://pactchangeslives.com/,(888) 883-1959,N/A
Crisis Center,South Bend,Indiana,S-O-S of the Family Justice Center,http://fjcsjc.org/,(574) 289-4357,N/A
Crisis Center,Valparaiso,Indiana,"The Caring Place, Inc.",http://www.thecaringplacenwi.org/,(219) 464-2128,N/A
Crisis Center,Adel,Iowa,Crisis Intervention & Advocacy Center,N/A,(800) 400-4884,N/A
Crisis Center,Ames,Iowa,ACCESS,http://www.assaultcarecenter.org/,(800) 203-3488,N/A
Crisis Center,Carroll,Iowa,Family Crisis Center of Northwest Iowa,N/A,(888) 356-2006,N/A
Crisis Center,Council Bluffs,Iowa,Catholic Charities DV/SA Program,http://www.catholiccharitiesdm.org,(888) 612-0266,keriea@rainn.org
Crisis Center,Davenport,Iowa,Quad Cities Rape/Sexual Assault Counseling Program/Family Resources Inc.,http://www.famres.org/,(563) 326-9191,N/A
Crisis Center,Dubuque,Iowa,Riverview Center Sexual Assault Prevention & Intervention Services,http://www.riverviewcenter.org/,(888) 557-0310,N/A
Crisis Center,Mason City,Iowa,Crisis Intervention Service,http://www.cishelps.org/,(800) 479-9071,N/A
Crisis Center,Ottumwa,Iowa,Crisis Center & Women’s Shelter,http://www.ottumwacrisiscenter.org,(800) 464-8340,N/A
Crisis Center,Sioux Center,Iowa,Family Crisis Center,http://www.familycrisiscenters.org/,(800) 382-5603,N/A
Crisis Center,Spencer,Iowa,Centers Against Abuse & Sexual Assault (CAASA),http://www.caasaonline.org,(712) 580-4482,N/A
Crisis Center,Dodge City,Kansas,Crisis Center of Dodge City,N/A,(866) 270-2270,N/A
Crisis Center,Emporia,Kansas,"SOS, Inc.",http://www.soskansas.com/,(800) 825-1295,N/A
Crisis Center,Great Bend,Kansas,Family Crisis Center,http://www.familycrisiscntr.org/,(866) 792-1885,N/A
Crisis Center,Hays,Kansas,Options Domestic & Sexual Violence Services,http://www.help4abuse.org/, (800) 794-4624,N/A
Crisis Center,Hutchinson,Kansas,Sexual Assault And Domestic Violence Center of Reno County,http://www.sadvchutch.org/,(800) 701-3630,N/A
Crisis Center,Iola,Kansas,Hope Unlimited,http://www.hope-unlimited.org,(620) 365-7566,N/A
Crisis Center,Lawrence,Kansas,GaDuGi SafeCenter,http://www.gadugisafecenter.org/,(785) 843-8985,support@gadugisafecenter.org
Crisis Center,Leavenworth,Kansas,Alliance Against Family Violence,http://www.aafv.net/, (800) 644-1441,N/A
Crisis Center,Liberal,Kansas,"Liberal Area Rape Crisis/DV Services, Inc.",http://www.larcdvs.org/,(620) 624-8818,N/A
Crisis Center,Manhattan,Kansas,"The Crisis Center, Inc.",http://www.thecrisiscenterinc.org/,(800) 727-2785,N/A
Crisis Center,Overland Park,Kansas,SAFEHOME,http://www.safehome-ks.org/,(913) 262-2868,N/A
Crisis Center,Pittsburg,Kansas,Safehouse Crisis Center,http://www.crisisresourcecenter.org/,(800) 794-9148,N/A
Crisis Center,Salina,Kansas,DVACK,http://www.dvack.org/,(800) 874-1499,N/A
Crisis Center,Topeka,Kansas,YWCA Center for Safety and Empowerment,http://www.ywcatopeka.org/,(888) 822-2983,N/A
Crisis Center,Wichita,Kansas,Wichita Area Sexual Assault Center,http://www.wichitasac.com/, (877) 917-2248,N/A
Crisis Center,Winfield,Kansas,"Safe Homes, Inc.",http://safehomesinc.org/,(800) 794-7672,N/A
Crisis Center,Ashland,Kentucky,Pathways Inc.,http://www.pathways-ky.org/,(800) 562-8909,N/A
Crisis Center,Bowling Green,Kentucky,Hope Harbor,http://www.hopeharbor.net/,(270) 846-1100,N/A
Crisis Center,Corbin,Kentucky,Cumberland River Victims Services,http://crrvs.org/,(606) 523-2520,N/A
Crisis Center,Elizabethtown,Kentucky,Advocacy & Support Center,http://www.advocacysupportcenter.com/,(877) 672-2124,N/A
Crisis Center,Hazard,Kentucky,The Rising Center,http://www.krccnet.com/,(800) 375-7273,N/A
Crisis Center,Hebron,Kentucky,Women’s Crisis Center,http://www.wccky.org/,(800) 928-3335,N/A
Crisis Center,Hopkinsville,Kentucky,"Sanctuary, Inc.",http://www.sanctuaryinc.net/,(800) 766-0000,N/A
Crisis Center,Lexington,Kentucky,Bluegrass Rape Crisis Center,http://www.bluegrassrapecrisis.org/,(859) 253-2511,N/A
Crisis Center,Louisville,Kentucky,The Center for Women & Families,http://www.thecenteronline.org/,(877) 803-7577,N/A
Crisis Center,Owensboro,Kentucky,New Beginnings Sexual Assault Support Services,http://nbowensboro.org/,(800) 226-7273,N/A
Crisis Center,Paducah,Kentucky,Purchase Area Sexual Assault and Child Advocacy Center,http://www.pasacky.org/,(800) 928-7273,N/A
Crisis Center,Prestonsburg,Kentucky,Mountain Comprehensive Care Center,http://www.mtcomp.org/, (800) 422-1060,pbishnoi@mtcomp.org
Crisis Center,Somerset,Kentucky,Adanta Sexual Assault Resource Center,http://www.adanta.org/,(800) 633-5599,N/A
Crisis Center,Baton Rouge,Louisiana,Sexual Trauma Awareness & Response Center (STAR),http://www.brstar.org/, (225) 383-7273,info@brstar.org 
Crisis Center,Bogalusa,Louisiana,"ADAPT, Inc.",http://www.adaptofbugalusa.org/,(985) 732-4961,N/A
Crisis Center,Hammond,Louisiana,Tri-Parish Victim Assistance Rape Crisis,http://www.21jdda.org/,(985) 748-6882,N/A
Crisis Center,Houma,Louisiana,The Haven,http://www.havenhelps.org/,(985) 872-0450,julie@havenhelps.org 
Crisis Center,Jefferson,Louisiana,Metropolitan Center for Women and Children,http://www.mcwcgno.org/, (504) 837-5400,N/A
Crisis Center,Lafayette,Louisiana,Hearts of Hope,http://www.theheartsofhope.org/,(337) 233-7273,N/A
Crisis Center,Lake Charles,Louisiana,Oasis A Safe Haven,http://www.cwshelter.org/, (866) 570-7273,N/A
Crisis Center,Monroe,Louisiana,The Wellspring,http://www.wellspringalliance.org/,(800) 716-7233,N/A
Crisis Center,New Orleans,Louisiana,New Orleans Family Justice Center,http://www.neworleansfjc.org/,(504) 866-9554,N/A
Crisis Center,Opelousas,Louisiana,St. Landry-Evangeline Sexual Assault Center,N/A,(800) 656-4673,N/A
Crisis Center,Ruston,Louisiana,Pine Hills Sexual Assault Center,http://lincolnparish.org/DA/pages/pine_hills.html,(318) 255-7273,N/A
Crisis Center,Bangor,Maine,Rape Response Services,http://www.rrsonline.org/,(800) 310-0000,N/A
Crisis Center,Brunswick,Maine,Sexual Assault Support Services of Midcoast Maine,http://www.sassmm.org/,(800) 822-5999,administration@sassmm.org
Crisis Center,Farmington,Maine,Sexual Assault Prevention and Response Services,http://www.sapars.org/,(800) 871-7741,N/A
Crisis Center,Portland,Maine,Sexual Assault Response Services of Southern Maine,http://www.sarsonline.org/,(800) 313-9900,infosars@sarsonline.org
Crisis Center,Presque Isle,Maine,Sexual Assault Support Line,http://www.amhc.org/,(800) 550-3304,N/A
Crisis Center,Winthrop,Maine,Sexual Assault Crisis & Support Center,http://www.silentnomore.org/,(800) 871-7741,N/A
Crisis Center,Arnold,Maryland,Anne Arundel County Sexual Assault Crisis Center,http://www.annapolisywca.org/,(410) 222-7273,N/A
Crisis Center,Baltimore,Maryland,Baltimore County Domestic Violence and Sexual Assault Hotline,http://www.turnaroundinc.org/,(410) 828-6390,info@turnaroundinc.org
Crisis Center,Baltimore,Maryland,"TurnAround, Inc.",http://www.turnaroundinc.org/,(443) 279-0379,info@turnaroundinc.org
Crisis Center,Baltimore,Maryland,"TurnAround, Inc.",http://www.turnaroundinc.org/, (410) 377-8111,info@turnaroundinc.org
Crisis Center,Bel Air,Maryland,Sexual Assault/Spousal Abuse Resource Center,http://www.sarc-maryland.org/, (410) 836-8430,N/A
Crisis Center,Charlotte Hall,Maryland,"Walden/Sierra, Inc.",http://www.waldensierra.org/,(301) 863-6661,N/A
Crisis Center,Cheverly,Maryland,Domestic Violence and Sexual Assault Center at Dimensions Health Care,http://www.dimensionshealth.org/index.php/dimensions-health-services-prince-georges-county-maryland-md/,(301) 618-3154,N/A
Crisis Center,Columbia,Maryland,HopeWorks of Howard County Inc.,http://www.wearehopeworks.org/,(800) 752-0191,N/A
Crisis Center,Cumberland,Maryland,Family Crisis Resource Center,http://www.familycrisisresourcecenter.org/,(301) 759-9244,N/A
Crisis Center,Easton,Maryland,"For All Seasons, Inc.",http://www.forallseasonsinc.org/,(800) 310-7273,N/A
Crisis Center,Elkton,Maryland,Cecil County DV Rape Crisis Program,N/A,(410) 996-0333,N/A
Crisis Center,Frederick,Maryland,"Heartly House, Inc.",http://www.heartlyhouse.org/,(301) 662-8800,ceo@heartlyhouse.org
Crisis Center,Hagerstown,Maryland,"CASA, Inc.",http://www.casainc.org/, (301) 739-8975,N/A
Crisis Center,Oakland,Maryland,Dove Center,http://www.gcdovecenter.org/,(301) 334-9000,N/A
Crisis Center,Prince Frederick,Maryland,Calvert County Health Department Crisis Intervention Center,http://www.calverthealth.org/personalhealth/crisisintervention/index.htm, (301) 855-1075,N/A
Crisis Center,Prince Frederick,Maryland,Calvert County Health Department Crisis Intervention Center,http://www.calverthealth.org/crisis_intervention/crisisintervention.htm,(410) 535-1121,N/A
Crisis Center,Rockville,Maryland,Victim Assistance & Sexual Assault Program,http://www.vasap.org/,(240) 777-4247,N/A
Crisis Center,Salisbury,Maryland,Life Crisis Center,http://www.lifecrisiscenter.org/,(410) 749-4357,N/A
Crisis Center,Towson,Maryland,"TurnAround, Inc.",http://www.turnaroundinc.org/,(443) 279-0379,info@turnaroundinc.org
Crisis Center,Waldorf,Maryland,Center for Abused Persons,http://centerforabusedpersons.com/,(301) 645-3336,N/A
Crisis Center,Westminster,Maryland,Rape Crisis Intervention Service of Carroll County,http://www.rapecrisiscc.org/,(410) 857-7322,N/A
Crisis Center,Amherst,Massachusetts,Center For Woman and Community,http://www.umass.edu/ewc,(888) 337-0800,ewcmail@admin.umass.edu
Crisis Center,Brockton,Massachusetts,A New Day,http://www.anewdayma.org/,(888) 293-7273,N/A
Crisis Center,Cambridge,Massachusetts,Boston Area Rape Crisis Center,http://www.barcc.org/,(800) 841-8371,N/A
Crisis Center,Framingham,Massachusetts,Voices Against Violence,http://www.smoc.org/index.asp?pgid=45,(800) 593-1125,N/A
Crisis Center,Greenfield,Massachusetts,NELCWIT: New England Learning Center for Women in Transition,http://www.nelcwit.org/,(413) 772-0806,N/A
Crisis Center,Hyannis,Massachusetts,Independence House/Cape Cod Rape Crisis Center,http://www.independencehouse.org/,(800) 439-6507,N/A
Crisis Center,Lawrence,Massachusetts,YWCA of Greater Lawrence,http://www.ywcalawrence.org/,(877) 509-9922,N/A
Crisis Center,Lowell,Massachusetts,"The Center for Hope and Healing, Inc.",http://www.centerforhopehealing.org/, (800) 542-5212,info@centerforhopehealing.org
Crisis Center,Lynn,Massachusetts,North Shore Rape Crisis Center,http://www.nsrcc.org/,(800) 922-8772,N/A
Crisis Center,Milford,Massachusetts,Wayside Trauma Intervention Services,http://www.rapecrisiscenter.org/,(800) 511-5070,N/A
Crisis Center,Nantucket,Massachusetts,A Safe Place,http://www.asafeplacenantucket.org/,(508) 228-2111,info@asafeplacenantucket.org
Crisis Center,New Bedford,Massachusetts,The Women's Center,http://www.thewomenscentersc.com/,(508) 999-6636,N/A
Crisis Center,Pittsfield,Massachusetts,Elizabeth Freeman Center,N/A,(866) 401-2425,N/A
Crisis Center,Springfield,Massachusetts,YWCA of Western Massachusetts Sexual Assault Program,http://www.ywworks.org/,(413) 733-7100,N/A
Crisis Center,Vineyard Haven,Massachusetts,CONNECT to end violence a program of Martha's Vineyard Community Services,http://www.mvcommunityservices.com/, (508) 696-7233,N/A
Crisis Center,Worchester,Massachusetts,"Pathways for Change, Inc",http://www.centralmasspfc.org/, (800) 870-5905,N/A
Crisis Center,Adrian,Michigan,Catherine Cobb DV & SA Program,http://www.fccservices.org/, (800) 874-5936,N/A
Crisis Center,Ann Arbor,Michigan,University of Michigan Sexual Assault Prevention & Awareness Center,http://sapac.umich.edu/,(734) 936-3333,N/A
Crisis Center,Ann Arbor,Michigan,SAFE House Center,http://www.safehousecenter.org/,(734) 995-5444,info@safehousecenter.org
Crisis Center,Bay City,Michigan,Bay Area Women’s Center,http://www.bawc-mi.org/,(800) 834-2098,N/A
Crisis Center,Big Rapids,Michigan,"Women's Information Service, Inc. (WISE)",http://www.wiseagainstviolence.org/,(800) 374-9473,N/A
Crisis Center,Bloomfield Hills,Michigan,Common Ground,http://www.commongroundhelps.org/,(800) 231-1127,N/A
Crisis Center,Cadillac,Michigan,Cadillac Area OASIS/Family Resource Center,http://www.cadillacoasis-frc.org/,(800) 775-4646,N/A
Crisis Center,Coldwater,Michigan,Branch County Coalition Against Domestic Violence,http://278safe.com/,(517) 278-3356,N/A
Crisis Center,Detroit,Michigan,Detroit Police Victim Assistance Program,http://www.detroitmi.gov/DepartmentsandAgencies/PoliceDepartment/VictimsAssistance.aspx,(313) 833-1660,N/A
Crisis Center,Detroit,Michigan,YWCA of Metropolitan Detroit,http://www.ywcadetroit.org/,(313) 861-5300,N/A
Crisis Center,East Lansing,Michigan,MSU Counseling Center -- Sexual Assault Crisis Intervention,http://www.endrape.msu.edu/,(517) 372-6666,N/A
Crisis Center,Escanaba,Michigan,"Tri-County Safe Harbor, Inc.",http://www.safe3c.com,(800) 682-1649,N/A
Crisis Center,Flint,Michigan,YWCA Domestic Assault/Sexual Assault Services,http://www.ywca.org/flint,(810) 238-7233,N/A
Crisis Center,Grand Rapids,Michigan,YWCA West Central Michigan,http://www.ywcawcmi.org/,(616) 776-7273,N/A
Crisis Center,Grayling,Michigan,River House Shelter,http://riverhouseinc.org/,(888) 554-3169,office@riverhouseinc.org
Crisis Center,Holland,Michigan,Center for Women in Transition,http://www.aplaceforwomen.org/,(800) 848-5991,crisishelp@aplaceforwomen.org
Crisis Center,Houghton,Michigan,Dial Help Community Support and Outreach Center,http://www.dialhelp.org/,(866) 661-5589,N/A
Crisis Center,Howell,Michigan,LACASA Center,http://www.lacasacenter.org/,(866) 522-2725,N/A
Crisis Center,Ionia,Michigan,Relief After Violent Encounter--Ionia/Montcalm,http://raveim.org/, (800) 720-7233,administration@raveim.org
Crisis Center,Iron Mountain,Michigan,"Caring House, Inc.",http://caringhouseim.wordpress.com/,(800) 392-7839,N/A
Crisis Center,Ironwood,Michigan,"Domestic Violence Escape, Inc.",http://www.dove-inc.net/,(800) 711-6744,N/A
Crisis Center,Jackson,Michigan,AWARE Inc.,http://www.awareshelter.org/,(517) 783-2861,N/A
Crisis Center,Kalamazoo,Michigan,YWCA Domestic and Sexual Assault Program,http://www.ywcakalamazoo.org/,(269) 385-3587,N/A
Crisis Center,Lansing,Michigan,Listening Ear Crisis Center,http://www.theear.org/,(517) 337-1717,N/A
Crisis Center,Ludington,Michigan,COVE (Communities Overcoming Violent Encounters),http://www.callcove.com/,(800) 950-5808,N/A
Crisis Center,L'Anse,Michigan,Baraga County Shelter Home,http://www.homeoftheheart.org/,(906) 524-7078,N/A
Crisis Center,Marquette,Michigan,Harbor House,http://www.wcmqt.org/,(800) 455-6611,N/A
Crisis Center,Midland,Michigan,Shelterhouse,http://www.shelterhousemidland.org/,(877) 216-6383,N/A
Crisis Center,Monroe,Michigan,Mercy Memorial Rape Crisis Center,http://www.mercymemorial.org/,(734) 240-8800,N/A
Crisis Center,Mt. Clemens,Michigan,Turning Point Inc.,http://www.turningpointmacomb.org/,(586) 463-6990,N/A
Crisis Center,Mt. Pleasant,Michigan,"Women’s Aid Service, Inc.",http://www.womens-aid.org/,(989) 772-9168,N/A
Crisis Center,Muskegon,Michigan,Every Woman’s Place Crisis Center,http://www.everywomansplace.org/,(231) 722-3333,N/A
Crisis Center,Petoskey,Michigan,"Women’s Resource Center of Northern Michigan, Inc.",http://www.wrcnm.org/,(800) 275-1995,N/A
Crisis Center,Plymouth,Michigan,First Step,http://www.firststep-mi.org/,(888) 453-5900,info@firststep-mi.org
Crisis Center,Pontiac,Michigan,HAVEN,http://www.haven-oakland.org/,(877) 922-1274,N/A
Crisis Center,Port Huron,Michigan,Safe Horizons,http://bluewatersafehorizons.org/,(888) 985-5538,N/A
Crisis Center,Saginaw,Michigan,Sexual Assault Center of Child & Family Service of Saginaw,http://www.childandfamilysaginaw.org/,(989) 790-9118,N/A
Crisis Center,Saginaw,Michigan,Underground Railroad,http://www.undergroundrailroadinc.org/,(888) 399-8385,N/A
Crisis Center,Sault St. Marie,Michigan,Diane Peppler Resource Center,http://www.dprcenter.org/,(800) 882-1515,N/A
Crisis Center,St. Johns,Michigan,SafeCenter,http://www.thesafecenter.org/, (877) 952-7283,N/A
Crisis Center,Traverse City,Michigan,Women’s Resource Center - Grand Traverse Area,http://www.womensresourcecenter.org/,(800) 554-4972,N/A
Crisis Center,Aitkin,Minnesota,Support Within Reach,http://supportwithinreach.org/,(218) 927-6226,N/A
Crisis Center,Austin,Minnesota,Crime Victims’ Resource Center,N/A,(800) 349-6680,N/A
Crisis Center,Bemidji,Minnesota,Support Within Reach,http://www.supportwithinreach.org,(800) 708-2727,N/A
Crisis Center,Blue Earth,Minnesota,CADA of Faribault County,http://inspire-hope.org/,(507) 625-8688,N/A
Crisis Center,Cottage Grove,Minnesota,Canvas Health,http://canvashealth.org/,(651) 777-1117,N/A
Crisis Center,Detroit Lakes,Minnesota,Lakes Crisis and Resource Center,http://lakescrisis.com/,(877) 754-9683,N/A
Crisis Center,Duluth,Minnesota,"Program for Aid to Victims of Sexual Assault, Inc.",http://www.pavsa.org/,(218) 726-1931,N/A
Crisis Center,Eagan,Minnesota,360 Communities,http://360communities.org/,(651) 405-1500,N/A
Crisis Center,Faribault,Minnesota,HOPE Center,http://www.hopecentermn.org/,(800) 607-2330,N/A
Crisis Center,Fergus Falls,Minnesota,Someplace Safe,http://www.someplacesafe.info/, (800) 974-3359,info@someplacesafe.info
Crisis Center,Grand Rapids,Minnesota,Support Within Reach (formerly known as Itasca Alliance Against Sexual Assault),http://www.supportwithinreach.org/,(866) 747-5008,N/A
Crisis Center,Hinckley,Minnesota,WINDOW (Women in Need Depending on Other Women),http://www.windowhinkley.com,(800) 644-0003,N/A
Crisis Center,International Falls,Minnesota,Friends Against Abuse,http://www.friendsagainstabuse.com/, (218) 285-7220,info@homestead.com
Crisis Center,Little Falls,Minnesota,Hands of Hope Resource Center,http://www.handsofhope.net/, (800) 682-4547,N/A
Crisis Center,Mankato,Minnesota,"CADA, Inc.",http://inspire-hope.org/,(800) 477-0466,N/A
Crisis Center,Marshall,Minnesota,New Horizons Crisis Center,http://www.newhorizonscrisiscenter.org/,(800) 881-7493,New_Horizons.Crisis_Center@smsu.edu
Crisis Center,Minneapolis,Minnesota,Rape and Sexual Abuse Center,http://www.neighborhoodinvolve.org/rsac,(612) 825-4357,N/A
Crisis Center,Minneapolis,Minnesota,Sexual Violence Center,http://www.sexualviolencecenter.org/,(612) 871-5111,N/A
Crisis Center,New Ulm,Minnesota,CADA of Brown and Sibley Counties,http://inspire-hope.org/,(800) 477-0466,N/A
Crisis Center,Owatonna,Minnesota,Women's Resource Center of Steele County,N/A,(800) 451-1202,N/A
Crisis Center,Park Rapids,Minnesota,Support Within Reach,http://www.supportwithinreach.org/,(800) 708-2727,N/A
Crisis Center,Rochester,Minnesota,Victim Services,http://www.co.olmsted.mn.us/,(877) 289-0636,N/A
Crisis Center,Saint Cloud,Minnesota,Central Minnesota Sexual Assault Center,http://www.cmsac.org/,(800) 237-5090,N/A
Crisis Center,St. James,Minnesota,CADA of Watonwan County,http://www.co.ramsey.mn.us/,(651) 266-1000,N/A
Crisis Center,St. Paul,Minnesota,Sexual Offense Services of Ramsey County (SOS),http://www.co.ramsey.mn.us/,(651) 266-1000,N/A
Crisis Center,Two Harbors,Minnesota,North Shore Horizons,http://www.northshorehorizons.org/,(800) 834-5923,N/A
Crisis Center,Walker,Minnesota,Support Within Reach,http://www.supportwithinreach.org/,(800) 708-2727,N/A
Crisis Center,Biloxi,Mississippi,Gulf Coast Women’s Center for Nonviolence,http://www.gcwcfn.org/,(800) 800-1396,N/A
Crisis Center,Columbus,Mississippi,"Safe Haven, Inc.",N/A,(800) 890-6040,N/A
Crisis Center,Greenville,Mississippi,"Our House, Inc.",http://ourhousenb.com/,(888) 884-5683,N/A
Crisis Center,Hattiesburg,Mississippi,Shafer Center for Crisis Intervention,http://www.theshafercenter.info/,(601) 264-7078,N/A
Crisis Center,Jackson ,Mississippi,Catholic Charities Rape Crisis Center,http://www.catholiccharitiesjackson.org/,(601) 982-7273,N/A
Crisis Center,Meridian,Mississippi,Sexual Assault Crisis Services,http://www.wesleyhousemeridan.org/,(601) 482-2828,N/A
Crisis Center,Natchez,Mississippi,Guardian Sexual Assault Center,N/A,(601) 446-8668,N/A
Crisis Center,Oxford,Mississippi,Family Crisis Services of Northwest Mississippi,N/A,(800) 230-9929,N/A
Crisis Center,Tupelo,Mississippi,"Safe, Inc.",http://www.safeshelter.net/,(800) 527-7233,N/A
Crisis Center,Bonne Terre,Missouri,A Friend's Place,N/A,(800) 663-9929,N/A
Crisis Center,Branson,Missouri,Women’s Crisis Center,http://www.thewomenscrisiscenter.net/,(866) 379-0074,N/A
Crisis Center,Camdenton,Missouri,Citizens Against Domestic Violence/Victim Outreach Center,http://www.cadv-voc.org/,(888) 809-7233,N/A
Crisis Center,Cape Girardeau,Missouri,Beacon Health Center,http://www.beaconhealthcenter.com/,(877) 820-6278,N/A
Crisis Center,Columbia ,Missouri,True North Shelter,http://www.truenorthofcolumbia.org/,(800) 548-2480,N/A
Crisis Center,Fulton,Missouri,Coalition Against Rape & Domestic Violence (CARDV),http://www.callawaycardv.org/,(866) 642-4422,N/A
